freq,sex,age,unit,isced11,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,T,Y20-29,PC,TOTAL,ME	: 	: 	: 	: 	: 	: 	38.2 	40.9 	42.9 	44.7 b	46.5 	48.8 	48.8 	48.6 	52.5 	43.2 	: 	: 	: 	: 
A,T,Y20-29,PC,TOTAL,MK	: 	31.6 	33.4 	34.9 	36.5 	36.4 	34.8 	35.6 	36.3 	36.8 b	37.5 	38.3 	40.5 	42.0 	46.6 	45.5 	: 	: 	: 	: 
A,T,Y20-29,PC,TOTAL,MT	72.6 b	74.2 	75.0 	76.1 	73.3 	73.4 	74.0 b	74.5 	77.1 	76.5 b	75.1 	76.7 	78.5 	81.4 	80.6 	78.8 	78.8 b	82.2 	82.9 	84.5 
A,T,Y20-29,PC,TOTAL,NL	76.6 b	78.2 b	80.2 	80.4 	79.6 	77.2 	77.5 	76.8 	75.3 b	74.1 b	75.8 	75.9 	76.5 	77.4 	78.4 b	76.6 	82.5 b	83.5 	83.9 	83.9 
A,T,Y20-29,PC,TOTAL,NO	73.1 b	75.6 b	77.2 	78.3 	75.2 	72.9 	72.9 	73.3 	73.0 	71.9 b	71.8 	71.1 	71.1 	73.0 	73.4 	73.0 	74.1 b	77.1 	77.1 	76.2 
A,T,Y20-29,PC,TOTAL,PL	52.1 b	55.3 	58.6 	62.0 	61.5 	59.9 b	59.1 	58.6 	58.1 	60.2 b	61.1 	64.2 	65.9 	67.8 	69.0 b	65.7 	66.5 b	67.4 	69.3 	69.5 
A,T,Y20-29,PC,TOTAL,PT	66.6 b	66.7 	66.4 	67.7 	65.1 	61.8 	60.8 b	56.0 	52.7 	55.2 b	56.5 	57.7 	62.2 	64.2 	64.8 	59.2 	58.8 b	61.7 	64.8 	64.9 
A,T,Y20-29,PC,TOTAL,RO	55.5 b	54.7 	54.7 	53.8 	51.7 	54.0 b	53.3 	53.6 	53.8 	55.2 b	57.8 	56.3 	59.4 	59.5 	59.1 	59.1 	54.9 b	53.7 	53.1 	53.1 
A,T,Y20-29,PC,TOTAL,RS	: 	: 	: 	: 	: 	36.6 	35.5 	36.6 	36.6 	39.4 b	41.0 	44.0 	46.9 	49.2 	50.2 	49.3 	54.4 b	56.7 	55.5 	57.2 
A,T,Y20-29,PC,TOTAL,SE	67.6 b	69.1 b	71.8 	71.9 	67.2 	66.6 	68.4 	67.2 	67.9 	68.5 b	69.7 	70.9 	71.7 	71.7 b	70.8 	68.5 	69.2 b	71.6 	72.4 	70.3 
A,T,Y20-29,PC,TOTAL,SI	66.5 b	65.7 	68.5 	69.5 	64.7 	63.0 	60.9 	58.5 	56.2 	55.1 b	59.3 	60.6 	67.1 	68.5 	68.9 	63.9 	62.6 b	65.5 	67.3 b	68.6 
A,T,Y20-29,PC,TOTAL,SK	57.6 b	59.4 	60.7 	60.2 	55.7 	52.9 	52.0 b	52.2 	51.9 	53.2 b	57.1 	59.4 	60.7 	61.4 	61.1 	58.5 	58.5 b	60.6 	61.2 	61.5 
A,T,Y20-29,PC,TOTAL,TR	: 	47.0 	47.5 	47.7 	46.1 	48.3 	50.6 	50.8 	51.8 	52.2 b	52.9 	52.7 	53.4 	53.6 	51.3 	47.6 	51.5 b	54.8 	57.0 	58.1 
A,T,Y20-29,PC,TOTAL,UK	74.4 b	74.9 	74.7 b	74.0 b	70.9 	70.7 b	69.9 b	69.7 	70.7 	72.6 b	74.2 	75.4 	76.4 	75.9 	77.0 	: 	: 	: 	: 	: 
